,name,price,region,power,volume,transmission,wheel_drive
0,  FAW Bestune T77 2021  , ,Київ ,168.0,1.5,Роботизована,Передній
1,  MG ZS 2021  , ,Одеса ,114.0,1.5,Варіатор,Передній
2,  Nissan Juke 2021  , ,Одеса ,114.0,1.0,Роботизована,Передній
3,  Nissan Juke 2021  , ,Одеса ,114.0,1.0,Роботизована,Передній
4,  Ford Kuga 2021  , ,Кропивницький (Кіровоград) ,182.0,1.5,Автомат,Передній
5,  Opel Mokka 2021  , ,Запоріжжя ,130.0,1.2,Автомат,Передній
6,  Nissan Qashqai 2021  , ,Черкаси ,150.0,1.3,Варіатор,Передній
7,  MG HS 2021  , ,Миколаїв ,228.0,2.0,Автомат,Повний
8,  Haval Jolion 2021  , ,Луцьк ,143.0,1.5,Автомат,Передній
9,  Nissan Qashqai 2022  , ,Кропивницький (Кіровоград) ,150.0,1.3,Варіатор,Повний
10,  Hyundai Kona 2021  , ,Вінниця ,198.0,1.6,Автомат,Передній
11,  Porsche Cayenne Coupe 2021  , ,Одеса ,340.0,3.0,Тіптронік,Повний
12,  Nissan X-Trail 2021  , ,Київ ,171.0,2.5,Варіатор,Повний
13,  Hyundai Tucson 2022  , ,Рівне ,136.0,1.6,Роботизована,Передній
14,  Jetour X70 2021  , ,Хмельницький ,147.0,1.5,Автомат,Передній
15,  Nissan Leaf 2021  , ,Рівне ,150.0,,,Передній
16,  Renault Express Van 2021  , ,Рівне ,95.0,1.5,Механічна,Передній
17,  Honda CR-V 2021  , ,Дніпро (Дніпропетровськ) ,193.0,1.5,Варіатор,Повний
18,  DS 3 Crossback 2021  , ,Київ ,130.0,1.5,Автомат,Передній
19,  Porsche Cayenne 2021  , ,Одеса ,340.0,3.0,Тіптронік,Повний
20,  Nissan X-Trail 2021  , ,Рівне ,130.0,1.6,Варіатор,Передній
21,  Mitsubishi Eclipse Cross 2021  , ,Одеса ,150.0,1.5,Варіатор,Повний
22,  Nissan Juke 2022  , ,Київ ,114.0,1.0,Роботизована,Передній
23,  Chery Tiggo 2 2021  , ,Хмельницький ,106.0,1.5,Механічна,Передній
24,  Opel Mokka 2021  , ,Львів ,130.0,1.2,Автомат,Передній
25,  Haval Jolion 2021  , ,Запоріжжя ,143.0,1.5,Автомат,Повний
26,  Nissan Juke 2021  , ,Хмельницький ,114.0,1.0,Роботизована,Передній
27,  Toyota Land Cruiser 300 2021  , ,Полтава ,415.0,3.5,Автомат,Повний
28,  Hyundai Ioniq 5 2021  , ,Полтава ,170.0,,,
29,  Citroen C5 Aircross 2022  , ,Київ ,180.0,2.0,Автомат,Передній
30,  Renault Arkana 2021  , ,Луцьк ,150.0,1.3,Варіатор,Передній
31,  Skoda Karoq 2022  , ,Івано-Франківськ ,150.0,1.4,Автомат,Передній
32,  Suzuki Vitara 2021  , ,Тернопіль ,117.0,1.6,Механічна,Передній
33,  Mitsubishi Eclipse Cross 2021  , ,Миколаїв ,150.0,1.5,Варіатор,Повний
34,  Renault Captur 2021  , ,Кропивницький (Кіровоград) ,155.0,1.3,Роботизована,Передній
35,  MG 5 2021  , ,Одеса ,114.0,1.5,Варіатор,Передній
36,  Mazda CX-3 2021  , ,Дніпро (Дніпропетровськ) ,121.0,2.0,Автомат,Передній
37,  Chery Tiggo 2 2021  , ,Хмельницький ,106.0,1.5,Механічна,Передній
38,  Fiat 500 2021  , ,Рівне ,69.0,1.2,Роботизована,Передній
39,  Mercedes-Benz GLE-Class 2021  , ,Хмельницький ,299.0,,Автомат,Повний
40,  Peugeot 2008 2022  , ,Кропивницький (Кіровоград) ,130.0,1.2,Автомат,Передній
41,  Haval Jolion 2021  , ,Полтава ,143.0,1.5,Автомат,Передній
42,  Mazda 6 2021  , ,Дніпро (Дніпропетровськ) ,231.0,2.5,Автомат,Передній
43,  Chery Tiggo 2 2021  , ,Київ ,106.0,1.5,Механічна,Передній
44,  Volkswagen Golf 2021  , ,Львів ,245.0,2.0,Автомат,Передній
45,  Toyota C-HR 2021  , ,Полтава ,184.0,2.0,Варіатор,Передній
46,  Peugeot Traveller 2021  , ,Вінниця ,177.0,2.0,Автомат,Передній
47,  Nissan Qashqai 2022  , ,Кропивницький (Кіровоград) ,150.0,1.3,Варіатор,Повний
48,  Mercedes-Benz GLE-Class 2021  , ,Львів ,272.0,,Автомат,Повний
49,  Nissan X-Trail 2021  , ,Кропивницький (Кіровоград) ,144.0,2.0,Механічна,Передній
50,  Volkswagen T-Roc 2021  , ,Чернівці ,150.0,1.5,Автомат,Передній
51,  Skoda Kodiaq 2022  , ,Хмельницький ,180.0,2.0,Роботизована,Повний
